project,exp,year,location,plot,crop,rep,lat,lon,seedyld,strawyld,hayyld,strawRFV,straw_N,straw_C,rootyld,spring_hay_RFV,fall_hay_RFV,ave_hay_RFV,N_leached,N2O_emitted,N_fert,stand_age,ETH_pot,tillage_planting_diesel,tillage_planting_hours,seed_costs,straw_diesel,straw_hours,grain_diesel,grain_hours,hay_diesel,hay_hours,fert_diesel,fert_hours,herb_diesel,herb_hours
IREE_nrate,A,2012,Waseca,1111,iwg,1,44.06913,-93.525992,902,8400,NA,NA,,,,NA,NA,NA,NA,NA,0,1,NA,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2012,Waseca,1311,iwg,3,44.06913,-93.525992,828.2,7990,NA,NA,,,,NA,NA,NA,NA,NA,0,1,NA,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2012,Waseca,1410,iwg,4,44.06913,-93.525992,926.6,9570,NA,NA,,,,NA,NA,NA,NA,NA,0,1,NA,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2012,Waseca,1212,iwg,2,44.06913,-93.525992,926.6,8580,NA,NA,,,,NA,NA,NA,NA,NA,0,1,NA,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2013,Crookston,3114,iwg,1,45.58822,-95.874869,953,12600,NA,116.6024321,,,,NA,NA,NA,NA,NA,0,1,83.56523233,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2013,Crookston,3213,iwg,2,45.58822,-95.874869,640,8980,NA,124.5016765,,,,NA,NA,NA,NA,NA,0,1,81.76604078,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2013,Crookston,3303,iwg,3,45.58822,-95.874869,735,8440,NA,118.604306,,,,NA,NA,NA,NA,NA,0,1,84.57160559,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2013,Crookston,3417,iwg,4,45.58822,-95.874869,699,9300,NA,118.7540455,,,,NA,NA,NA,NA,NA,0,1,85.04415565,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0,0
IREE_nrate,A,2013,Crookston,3111,iwg,1,45.58822,-95.874869,822,11180,NA,121.8010589,,,,NA,NA,NA,NA,NA,40,1,82.40243752,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3207,iwg,2,45.58822,-95.874869,964,12080,NA,124.8796123,,,,NA,NA,NA,NA,NA,40,1,79.53421525,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3309,iwg,3,45.58822,-95.874869,647,9260,NA,117.9574265,,,,NA,NA,NA,NA,NA,40,1,78.4774552,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3408,iwg,4,45.58822,-95.874869,804,10400,NA,118.3546577,,,,NA,NA,NA,NA,NA,40,1,79.37327088,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3102,iwg,1,45.58822,-95.874869,964,12340,NA,120.8602778,,,,NA,NA,NA,NA,NA,80,1,80.54575145,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3201,iwg,2,45.58822,-95.874869,884,11460,NA,133.7216866,,,,NA,NA,NA,NA,NA,80,1,72.56702942,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3312,iwg,3,45.58822,-95.874869,852,11380,NA,126.4153125,,,,NA,NA,NA,NA,NA,80,1,76.89477303,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
