"","experiment","site","plot","date","co2.e.kghyr"
"102","ATAT","r100","1201","2022-09-08",9256.74745271367
"103","ATAT","r100","1201","2022-09-15",15967.9638587385
"104","ATAT","r100","1201","2022-09-27",590.205788366793
"105","ATAT","r100","1201","2022-10-11",6619.12188764596
"106","ATAT","r100","1201","2022-10-27",3453.64821200121
"107","atat","r100","1201","2023-05-16",6810.1306499425
"108","atat","r100","1201","2023-05-31",19649.0260231006
"109","atat","R100","1201","2023-06-14",22211.5464334851
"110","atat","r100","1201","2023-06-28",6414.66682544505
"111","atat","r100","1201","2023-07-10",3662.67594085238
"112","atat","r100","1201","2023-07-24",8211.87583345546
"113","atat","r100","1201","2023-08-07",1545.96720373073
"114","atat","r100","1201","2023-08-21",2707.88375025748
"115","atat","r100","1202","2023-05-16",10297.0650126113
"116","atat","r100","1202","2023-05-31",18931.3832203075
"117","atat","R100","1202","2023-06-14",7497.58586352765
"118","atat","r100","1202","2023-06-27",9489.21075629689
"119","atat","r100","1202","2023-07-10",9389.18662126604
"120","atat","r100","1202","2023-07-24",10344.1047165657
"121","atat","r100","1202","2023-08-07",3933.37575475882
"122","atat","r100","1202","2023-08-21",-12231.9356659922
"123","atat","r100","1203","2023-05-16",4515.80604020102
"124","atat","r100","1203","2023-05-31",14721.1897985218
"125","atat","R100","1203","2023-06-14",2914.08344750611
"126","atat","r100","1203","2023-06-27",7253.73998049102
"127","atat","r100","1203","2023-07-10",6516.761754219
"128","atat","r100","1203","2023-07-24",7989.21245944408
"129","atat","r100","1203","2023-08-07",3228.64657467753
"130","atat","r100","1203","2023-08-21",8983.94507852408
"131","atat","r100","1204","2023-05-16",5449.87777056311
"132","atat","r100","1204","2023-05-31",9978.00090073141
"133","atat","R100","1204","2023-06-14",4976.87818655397
"134","atat","r100","1204","2023-06-27",8476.14023164257
"135","atat","r100","1204","2023-07-10",777.229008136302
"136","atat","r100","1204","2023-07-24",4053.04114928386
"137","atat","r100","1204","2023-08-07",4026.62642675398
"138","atat","r100","1204","2023-08-21",5605.16271219765
"139","ATAT","r100","1205","2022-09-27",10796.0920001525
